            Instance |     Method |               Status |      Value |      RAM |   Best (s) | Proved (s) | Solution                                                                        
                  12 |        lns |     closed(improved) |       8066 |     0.00 |       0.05 |       0.16 | 5 5 5 5 5 7 7 7 1 1 1 1 1 1 0 0 0 0 0 9 9 9 9 2 3 4 3 3 3 3 2 6 6 2 4 4 8 8 3 3 4 2 2 2 3 3 2 6 9 6 
                   6 |        lns |     closed(improved) |       9052 |     0.00 |       0.33 |       0.33 | 3 3 3 3 3 3 3 3 3 3 9 9 9 9 9 4 7 7 7 7 5 8 8 1 1 1 4 6 5 5 2 4 4 4 2 0 1 5 2 2 0 2 0 8 1 6 2 2 0 1 
                  10 |        lns |     closed(improved) |      14858 |     0.00 |       0.33 |       0.33 | 4 4 4 4 5 5 5 5 5 5 3 3 3 3 3 6 6 6 6 6 6 6 7 8 8 0 0 0 9 1 1 9 1 1 2 7 8 2 2 2 8 0 1 1 2 2 7 7 8 1 
                  36 |        lns |     closed(improved) |      14195 |     0.00 |       0.28 |       0.28 | 8 8 8 8 8 8 3 3 3 3 3 3 2 2 2 5 5 5 5 5 7 1 9 9 9 9 9 4 6 7 6 1 4 4 0 4 6 7 7 0 0 0 0 0 1 4 7 0 0 0 
                  15 |        lns |     closed(improved) |      14836 |     0.00 |       0.27 |       0.33 | 0 0 0 0 0 0 0 7 7 7 7 5 5 5 1 1 1 3 3 3 3 3 6 9 8 8 8 8 8 2 2 4 4 6 6 6 6 6 9 4 4 2 2 6 6 4 4 8 8 2 
                  14 |        lns |     closed(improved) |      14639 |     0.00 |       0.34 |       0.34 | 9 9 9 0 0 0 0 0 0 0 0 0 8 8 8 4 4 4 4 7 7 7 7 7 3 7 7 7 3 2 1 5 7 7 7 2 3 3 5 5 1 1 1 1 1 6 5 5 2 3 
                  37 |        lns |     closed(improved) |      12628 |     0.00 |       0.18 |       0.31 | 8 8 6 6 6 6 5 5 5 5 5 5 5 5 0 0 0 0 0 3 1 4 1 9 9 3 4 3 9 2 1 1 4 9 9 3 3 3 3 2 2 2 1 1 1 1 1 7 7 4 
                  21 |        lns |     closed(improved) |      13712 |     0.00 |       0.29 |       0.41 | 6 6 6 6 6 3 3 3 3 3 3 3 0 0 0 0 0 0 0 0 1 9 0 0 1 1 1 5 4 4 4 2 8 8 5 2 7 7 7 8 8 8 1 1 2 5 1 1 1 2 
                  29 |        lns |     closed(improved) |      10105 |     0.00 |       0.45 |       0.45 | 8 8 8 8 9 9 9 6 6 6 6 6 6 7 7 7 7 7 7 7 4 2 5 5 5 2 2 4 4 3 3 0 1 1 2 2 1 7 4 3 3 0 3 7 4 0 2 2 0 1 
                  30 |        lns |     closed(improved) |      14697 |     0.00 |       0.19 |       0.45 | 5 5 5 7 4 4 4 4 4 8 8 8 8 8 8 0 6 6 6 6 6 6 1 0 9 0 0 1 1 3 3 9 0 1 2 2 3 9 9 9 2 1 3 1 1 2 2 2 3 0 
                  18 |        lns |     closed(improved) |      14353 |     0.00 |       0.55 |       0.55 | 0 0 0 7 7 7 2 2 2 2 2 4 4 4 4 5 5 8 8 8 8 9 5 5 3 3 3 3 3 3 6 6 1 9 9 6 9 6 6 6 1 9 6 1 1 6 5 8 1 3 
                  32 |        lns |     closed(improved) |      11929 |     0.00 |       0.34 |       0.56 | 6 6 6 6 6 6 6 6 6 5 5 5 5 5 2 2 2 2 2 9 4 4 4 4 4 9 9 7 4 4 1 7 3 3 1 8 4 1 9 8 7 7 8 3 9 9 0 0 3 1 
                  22 |        lns |     closed(improved) |      14489 |     0.00 |       0.44 |       0.61 | 5 5 5 5 7 7 7 7 1 1 1 1 1 0 0 0 0 0 0 0 3 0 4 2 2 2 2 6 0 8 9 9 9 8 3 3 6 9 3 3 3 6 6 6 6 9 0 0 8 8 
                  19 |        lns |     closed(improved) |      13412 |     0.00 |       0.28 |       0.63 | 5 5 5 5 5 5 5 5 9 9 9 9 9 4 4 4 0 1 1 1 1 2 2 3 6 6 6 6 6 6 2 7 3 2 2 3 8 3 0 0 3 8 8 3 3 2 8 3 8 8 
                  31 |        lns |     closed(improved) |       9757 |     0.00 |       0.38 |       0.61 | 4 4 4 4 4 8 8 8 8 9 9 9 5 5 2 2 2 2 2 2 2 3 3 3 7 3 7 7 0 0 0 1 6 0 1 7 7 3 1 1 5 6 5 9 7 7 0 0 3 1 
                  23 |        lns |     closed(improved) |      13909 |     0.00 |       0.65 |       0.65 | 3 3 3 3 6 6 6 6 7 7 7 7 2 2 2 2 2 2 2 2 2 1 4 4 4 4 0 0 8 8 0 1 1 5 5 5 0 9 9 0 0 0 0 5 1 1 8 5 0 9 
                   2 |        lns |     closed(improved) |      11466 |     0.00 |       0.46 |       0.77 | 8 8 8 9 9 9 9 9 0 0 0 0 0 0 2 2 2 2 2 5 1 1 1 7 5 5 4 4 5 6 6 7 4 3 3 7 7 6 4 4 3 3 6 6 3 7 5 5 1 3 
                  13 |        lns |     closed(improved) |      11286 |     0.00 |       0.74 |       0.74 | 1 1 1 1 1 8 8 8 7 7 7 6 6 6 6 6 6 6 6 6 4 5 5 2 2 2 2 2 9 4 4 4 3 3 0 9 3 5 5 5 3 3 3 0 2 9 0 0 0 4 
                  47 |        lns |     closed(improved) |      14586 |     0.00 |       0.26 |       0.26 | 2 2 2 2 2 1 1 1 1 3 3 3 3 3 3 3 3 3 9 9 9 9 9 8 5 5 4 4 4 0 0 7 7 7 6 6 4 4 4 0 0 5 6 6 6 0 0 0 5 7 
                  48 |        lns |     closed(improved) |      12763 |     0.00 |       0.11 |       0.20 | 4 4 4 4 9 9 9 9 9 9 9 8 8 8 0 0 0 0 0 0 0 1 1 1 7 7 3 3 3 6 6 6 6 5 5 6 6 5 1 1 3 3 7 3 6 2 1 7 2 2 
                  45 |        lns |     closed(improved) |      13415 |     0.00 |       0.26 |       0.39 | 2 2 2 2 2 2 5 5 5 5 1 1 1 7 7 7 7 4 4 4 4 4 4 9 0 0 3 8 8 8 6 6 0 0 8 8 3 1 8 4 1 7 7 8 8 6 9 3 3 0 
                  46 |        lns |     closed(improved) |      15375 |     0.00 |       0.24 |       0.39 | 6 6 6 6 1 1 1 1 1 4 4 2 2 9 9 9 9 5 5 5 5 7 3 8 0 0 0 0 0 0 0 3 3 3 3 7 7 7 7 7 8 8 3 3 8 8 0 5 5 0 
                  55 |        lns |     closed(improved) |      10611 |     0.00 |       0.03 |       0.08 | 3 3 3 3 3 3 3 3 3 3 2 2 2 0 0 0 0 0 0 0 0 0 9 1 5 9 9 8 5 6 7 7 1 6 6 7 5 1 4 1 1 8 5 9 0 6 9 1 4 1 
                   3 |        lns |     closed(improved) |      11531 |     0.00 |       0.69 |       0.94 | 9 6 6 6 3 3 3 3 3 5 5 5 0 0 0 0 0 0 1 2 2 8 7 1 1 2 2 2 2 8 8 7 1 1 1 2 8 4 7 1 4 4 5 5 5 4 2 0 1 4 
                  35 |        lns |     closed(improved) |      15563 |     0.00 |       0.67 |       0.88 | 7 7 7 7 7 7 7 2 2 2 2 2 9 9 9 9 9 1 1 1 0 0 0 0 0 5 8 5 5 5 5 6 6 3 8 4 4 4 4 3 3 6 3 8 8 4 6 6 4 4 
                  34 |        lns |     closed(improved) |      15671 |     0.00 |       0.58 |       0.90 | 6 6 6 6 1 1 1 1 1 1 1 5 5 5 5 2 2 2 8 8 8 8 8 8 9 3 3 8 4 4 9 9 9 7 7 3 3 7 7 4 4 4 4 3 2 7 0 0 0 4 
                  43 |        lns |     closed(improved) |      13290 |     0.00 |       0.48 |       0.48 | 3 3 3 3 3 3 3 3 5 5 5 5 5 6 6 6 2 7 7 7 0 1 4 4 2 8 7 7 1 9 9 9 9 2 0 9 9 0 0 2 2 2 8 0 1 1 2 8 0 0 
                  26 |        lns |     closed(improved) |      11942 |     0.00 |       0.74 |       0.91 | 8 8 8 8 8 8 4 4 4 4 7 7 1 1 1 1 1 1 1 3 0 9 3 3 2 5 5 0 0 0 0 0 2 6 6 9 2 2 6 0 0 0 3 2 5 6 0 2 2 6 
                  40 |        lns |     closed(improved) |      14809 |     0.00 |       0.55 |       0.91 | 6 6 6 6 6 6 7 7 7 7 7 7 3 3 3 3 3 3 3 5 5 4 4 4 4 0 1 8 9 9 4 8 2 5 5 5 0 2 1 2 5 5 0 0 2 2 1 1 2 2 
                  25 |        lns |     closed(improved) |      12054 |     0.00 |       0.68 |       1.01 | 5 5 5 5 5 1 1 1 1 1 8 8 8 8 2 2 2 2 2 4 4 3 7 0 0 4 4 7 3 7 0 6 6 6 6 3 9 9 9 3 3 7 3 4 6 6 9 3 9 0 
                  24 |        lns |     closed(improved) |      15247 |     0.00 |       1.06 |       1.06 | 6 6 6 6 6 6 8 8 8 8 8 2 2 2 2 9 9 5 5 1 0 0 5 5 5 5 5 5 4 4 7 0 0 0 1 4 4 4 3 3 3 0 0 0 0 4 1 4 4 1 
                  33 |        lns |     closed(improved) |      13150 |     0.00 |       1.10 |       1.10 | 3 3 3 3 3 2 2 2 2 6 6 5 5 5 5 5 9 9 9 9 9 9 7 8 8 4 9 0 0 0 4 1 7 0 4 4 7 7 7 8 8 0 0 1 1 8 0 0 0 4 
                  41 |        lns |     closed(improved) |      13410 |     0.00 |       0.58 |       0.95 | 7 7 7 7 7 7 7 7 9 9 9 9 9 6 6 6 6 6 5 0 1 5 5 3 8 8 8 8 0 0 3 4 4 4 2 2 2 3 4 4 3 3 4 4 1 1 1 2 2 3 
                   9 |        lns |     closed(improved) |      14646 |     0.00 |       0.97 |       1.28 | 6 6 6 6 6 6 6 6 3 1 1 1 1 1 1 9 9 9 9 4 0 0 2 4 5 5 0 0 5 2 2 2 2 7 0 0 0 0 8 7 7 7 8 8 2 2 2 0 9 0 
                  66 |        lns |     closed(improved) |       9765 |     0.00 |       0.10 |       0.18 | 7 7 7 7 6 6 6 6 6 6 6 4 4 4 4 4 4 4 1 1 3 3 3 5 5 5 9 0 0 0 0 0 5 2 1 1 9 0 0 5 3 8 1 9 2 0 0 8 2 2 
                   1 |        lns |     closed(improved) |      14051 |     0.01 |       0.92 |       1.36 | 3 3 3 3 3 0 0 0 0 6 6 6 7 2 2 2 2 2 2 2 1 1 5 8 7 2 4 1 1 1 4 9 8 5 5 9 9 9 9 4 4 8 5 5 5 5 5 8 8 4 
                  17 |        lns |     closed(improved) |      11984 |     0.00 |       1.30 |       1.30 | 6 6 6 6 6 6 9 9 9 9 5 5 3 3 7 7 7 7 7 4 4 4 4 0 0 8 4 0 0 0 1 8 1 1 2 2 4 0 8 1 8 4 4 4 8 7 1 2 2 0 
                  63 |        lns |     closed(improved) |      15871 |     0.00 |       0.11 |       0.29 | 9 9 9 9 9 5 5 5 4 4 4 4 4 4 1 1 1 1 1 7 6 6 8 8 8 7 6 1 0 0 0 3 2 2 0 0 3 2 2 6 1 0 0 0 2 2 0 3 3 2 
                  11 |        lns |     closed(improved) |      20305 |     0.01 |       1.39 |       1.39 | 2 2 2 2 2 2 9 9 3 3 3 3 1 1 1 1 1 1 1 1 1 1 4 8 6 7 7 7 4 0 8 5 6 4 0 4 5 1 6 4 8 0 0 0 4 8 6 6 6 5 
                  38 |        lns |     closed(improved) |       8705 |     0.01 |       0.88 |       1.31 | 3 3 3 3 3 3 3 3 3 1 1 1 0 0 0 9 7 6 6 2 8 7 4 8 9 9 4 2 2 8 4 2 5 9 9 5 5 2 8 6 5 1 9 0 9 7 6 2 8 5 
                  61 |        lns |     closed(improved) |       9631 |     0.00 |       0.26 |       0.40 | 3 3 6 6 6 8 8 8 8 8 1 1 1 1 1 1 1 9 9 9 5 0 4 5 5 0 2 4 0 4 5 0 2 2 5 5 0 4 2 7 5 5 0 2 7 7 7 2 0 4 
                  58 |        lns |     closed(improved) |      14179 |     0.00 |       0.16 |       0.56 | 9 9 9 9 7 7 1 1 1 1 8 8 8 8 8 8 4 4 4 0 3 4 4 0 6 6 5 5 2 2 6 3 0 0 0 6 5 3 5 3 5 5 5 3 2 2 2 0 0 3 
                  69 |        lns |     closed(improved) |      12617 |     0.00 |       0.24 |       0.43 | 3 3 3 3 3 3 2 2 2 2 2 2 0 0 1 1 1 1 1 7 5 9 8 0 7 7 7 4 5 8 4 4 4 4 6 7 7 7 4 8 0 6 5 8 4 4 4 5 5 6 
                  67 |        lns |     closed(improved) |      14114 |     0.00 |       0.46 |       0.62 | 1 1 1 1 0 0 0 0 0 0 0 9 9 9 9 9 9 4 5 5 5 5 2 2 7 7 4 4 8 8 3 3 3 6 2 7 3 4 4 4 2 6 6 2 2 7 3 6 6 6 
                  73 |        lns |     closed(improved) |      15080 |     0.00 |       0.10 |       0.36 | 0 0 0 0 2 2 2 2 7 7 7 9 9 9 4 1 1 1 1 1 6 5 5 4 3 8 1 1 4 4 4 4 4 8 6 6 5 3 6 6 6 6 6 8 8 5 5 5 3 3 
                  62 |        lns |     closed(improved) |      15226 |     0.00 |       0.73 |       0.73 | 6 4 4 4 4 4 1 1 1 1 1 1 1 9 9 9 9 9 9 9 9 7 2 2 3 8 5 7 7 3 3 5 2 2 0 5 5 2 0 0 3 3 3 5 2 2 2 0 5 5 
