INSTANCE | STATUS | UB | LB | TIME-TO-BEST | DURATION | PEAK-MEMORY
10items/012 | Optimum found | 8066 | 8065.992334 | 4.469 | 79.413 | 0.01926675625
10items/018 | Optimum found | 14353 | 14352.98604 | 2.856 | 139.826 | 0.01927358843
10items/010 | Optimum found | 14858 | 14857.98561 | 163.506 | 203.709 | 0.02157000359
10items/015 | Optimum found | 14836 | 14835.98559 | 10.5 | 217.982 | 0.01927712001
10items/021 | Optimum found | 13712 | 13711.98675 | 181.934 | 278.926 | 0.02218187042
10items/029 | Optimum found | 10105 | 10104.99038 | 3.534 | 361.413 | 0.02152361255
10items/036 | Optimum found | 14195 | 14194.98624 | 5.351 | 377.738 | 0.01928899251
10items/022 | Optimum found | 14489 | 14488.98593 | 361.926 | 385.672 | 0.01927507482
10items/031 | Optimum found | 9757 | 9756.990721 | 407.096 | 418.809 | 0.01928497665
10items/006 | Optimum found | 9052 | 9051.991524 | 426.485 | 579.96 | 0.02084751986
10items/011 | Unfinished | 20348 | 19986.61205 | 219.326 | 600.662 | 0.04176093917
10items/034 | Unfinished | 15671 | 15410.52174 | 403.822 | 600.836 | 0.03653901163
10items/004 | Unfinished | 14119 | 13766.26815 | 31.626 | 600.969 | 0.0403102953
10items/013 | Unfinished | 11286 | 11109.74767 | 492.84 | 600.974 | 0.2098240396
10items/027 | Unfinished | 14260 | 13928.78575 | 6.583 | 601.054 | 0.04732543789
10items/032 | Unfinished | 11934 | 11819.52745 | 3.118 | 601.051 | 0.1951013403
10items/040 | Unfinished | 14872 | 14634.1527 | 4.979 | 601.036 | 0.3254591329
10items/038 | Unfinished | 8738 | 8478.601935 | 6.198 | 601.141 | 0.04361321591
10items/033 | Unfinished | 13231 | 12946.72308 | 370.201 | 601.216 | 0.04379994702
10items/008 | Unfinished | 15931 | 15608.52135 | 372.039 | 601.294 | 0.04550080001
10items/016 | Unfinished | 8142 | 7907.918871 | 5.681 | 601.278 | 0.04666597024
10items/024 | Unfinished | 15278 | 14961.62982 | 7.785 | 601.293 | 0.04515558947
10items/030 | Unfinished | 14705 | 14582.36686 | 596.035 | 601.276 | 0.1953288447
10items/007 | Unfinished | 14063 | 13819.93668 | 15.822 | 601.362 | 0.03687824123
10items/002 | Unfinished | 11488 | 11288.63048 | 375.939 | 601.357 | 0.04314492177
10items/005 | Unfinished | 15086 | 14772.33896 | 10.385 | 601.463 | 0.04611765686
10items/025 | Unfinished | 12054 | 11917.19351 | 18.877 | 601.544 | 0.1623603981
10items/017 | Unfinished | 12007 | 11780.20437 | 3.299 | 601.667 | 0.04067273065
10items/037 | Unfinished | 12631 | 12464.01809 | 484.159 | 601.601 | 0.2180422125
10items/035 | Unfinished | 15563 | 15443.86348 | 544.241 | 601.704 | 0.2118377527
10items/026 | Unfinished | 12026 | 11714.7778 | 6.897 | 601.765 | 0.04370624758
10items/039 | Unfinished | 15385 | 15217.90145 | 12.129 | 601.745 | 0.2201845879
10items/014 | Unfinished | 14646 | 14489.36768 | 515.737 | 601.867 | 0.3053598134
10items/003 | Unfinished | 11597 | 11266.55582 | 9.333 | 601.936 | 0.04492912441
10items/023 | Unfinished | 13945 | 13632.20736 | 409.749 | 601.969 | 0.04429629166
10items/019 | Unfinished | 13475 | 13255.63152 | 374.303 | 602.051 | 0.04477586411
10items/028 | Unfinished | 9735 | 9400.423381 | 5.559 | 602.654 | 0.04328683671
10items/009 | Unfinished | 14755 | 14400.2852 | 378.768 | 603.559 | 0.04656933527
10items/001 | Unfinished | 14114 | 13786.41925 | 328.654 | 603.653 | 0.04699663352
10items/020 | Unfinished | 15136 | 14776.89372 | 5.169 | 605.034 | 0.04681122024
10items/048 | Optimum found | 12763 | 12762.98771 | 220.246 | 221.096 | 0.01927354373
10items/041 | Unfinished | 13410 | 13319.88472 | 558.458 | 601.185 | 0.1509545306
10items/055 | Optimum found | 10611 | 10610.98981 | 71.113 | 84.749 | 0.01925987657
10items/073 | Optimum found | 15080 | 15079.98526 | 12.454 | 110.921 | 0.01925894525
10items/046 | Optimum found | 15375 | 15374.98498 | 361.549 | 370.182 | 0.02078791521
10items/042 | Unfinished | 15973 | 15593.71311 | 544.762 | 601.818 | 0.03944724798
10items/047 | Optimum found | 14586 | 14585.98584 | 69.061 | 412.302 | 0.01928361319
10items/063 | Optimum found | 15871 | 15870.98453 | 195.35 | 198.28 | 0.01927330531
10items/043 | Unfinished | 13339 | 13068.04287 | 105.946 | 601.187 | 0.04034371302
10items/052 | Optimum found | 14814 | 14813.98556 | 23.675 | 214.955 | 0.01927937753
10items/044 | Unfinished | 12730 | 12515.58596 | 487.778 | 601.462 | 0.03860478103
10items/059 | Optimum found | 18450 | 18449.98188 | 250.156 | 267.386 | 0.02153824829
10items/045 | Unfinished | 13445 | 13241.75677 | 541.919 | 604.676 | 0.1713383198
10items/066 | Optimum found | 9765 | 9764.990731 | 294.184 | 330.549 | 0.01928914152
10items/080 | Optimum found | 9934 | 9933.990446 | 346.38 | 385.933 | 0.01928238384
10items/064 | Optimum found | 13296 | 13295.98729 | 311.738 | 403.028 | 0.02222142927
10items/049 | Unfinished | 17384 | 17139.76482 | 155.562 | 600.077 | 0.03919395059
10items/091 | Optimum found | 10530 | 10529.98985 | 33.308 | 220.693 | 0.01927946694
10items/069 | Optimum found | 12617 | 12616.98782 | 413.031 | 474.939 | 0.02154170256
10items/079 | Optimum found | 8247 | 8246.992181 | 3.981 | 504.595 | 0.01928101014
10items/050 | Unfinished | 11199 | 11006.92651 | 306.278 | 606.935 | 0.04479085375
10items/053 | Unfinished | 7787 | 7527.448365 | 388.496 | 601.357 | 0.0449624192
10items/057 | Unfinished | 12265 | 12080.7291 | 531.956 | 600.973 | 0.04091296997
10items/065 | Unfinished | 13426 | 13191.3547 | 63.39 | 600.964 | 0.0404391177
10items/061 | Unfinished | 9632 | 9488.955324 | 462.891 | 601.473 | 0.2058199421
10items/062 | Unfinished | 15226 | 15096.57155 | 12.583 | 601.58 | 0.234773539
10items/075 | Unfinished | 9969 | 9661.865537 | 8.522 | 601.015 | 0.04165275861
10items/071 | Unfinished | 15859 | 15611.35443 | 198.687 | 601.545 | 0.04800696578
10items/067 | Unfinished | 14152 | 13911.82529 | 342.868 | 602.081 | 0.04926736373
