INSTANCE | STATUS | UB | LB | TIME-TO-BEST | DURATION | PEAK-MEMORY
10items/036 | Optimum found | 14195 | 14194.98604 | 2.256 | 5.839 | 0.008381420746
10items/031 | Optimum found | 9757 | 9756.990476 | 10.232 | 10.276 | 0.008391833864
10items/012 | Optimum found | 8066 | 8065.992121 | 15.336 | 16.56 | 0.008442470804
10items/039 | Optimum found | 15371 | 15370.20166 | 18.557 | 19.552 | 0.008384545334
10items/010 | Optimum found | 14858 | 14857.98538 | 22.122 | 23.512 | 0.008394141681
10items/018 | Optimum found | 14353 | 14352.47432 | 22.783 | 24.311 | 0.008454008959
10items/019 | Optimum found | 13412 | 13411.98684 | 20.383 | 24.664 | 0.008416875266
10items/002 | Optimum found | 11466 | 11465.9888 | 3.598 | 27.34 | 0.008448095992
10items/037 | Optimum found | 12628 | 12627.98765 | 29.679 | 29.844 | 0.008373521268
10items/040 | Optimum found | 14809 | 14808.98545 | 21.485 | 39.746 | 0.008443041705
10items/021 | Optimum found | 13712 | 13711.98651 | 46.538 | 48.308 | 0.008446378633
10items/046 | Optimum found | 15375 | 15374.98482 | 23.151 | 37.087 | 0.008399972692
10items/041 | Optimum found | 13410 | 13409.9868 | 58.857 | 59.117 | 0.008410560898
10items/022 | Optimum found | 14489 | 14488.98578 | 55.2 | 65.62 | 0.008419731632
10items/048 | Optimum found | 12763 | 12762.98749 | 40.253 | 40.592 | 0.00840014033
10items/032 | Optimum found | 11929 | 11928.98833 | 65.645 | 75.442 | 0.00846531149
10items/029 | Optimum found | 10105 | 10104.99016 | 77.279 | 78.768 | 0.008447074331
10items/006 | Optimum found | 9052 | 9051.991258 | 68.689 | 79.178 | 0.008449243382
10items/035 | Optimum found | 15563 | 15562.98465 | 83.405 | 83.833 | 0.008461646736
10items/055 | Optimum found | 10611 | 10610.98959 | 17.285 | 17.587 | 0.008361585438
10items/047 | Optimum found | 14586 | 14585.4611 | 62.982 | 64.484 | 0.008417865261
10items/017 | Optimum found | 11984 | 11983.98832 | 84.042 | 89.642 | 0.008458545431
10items/025 | Optimum found | 12054 | 12053.9882 | 91.87 | 91.983 | 0.008445691317
10items/013 | Optimum found | 11286 | 11285.98899 | 96.895 | 100.693 | 0.008469147608
10items/015 | Optimum found | 14836 | 14835.9854 | 98.298 | 101.417 | 0.00847019814
10items/014 | Optimum found | 14639 | 14638.98564 | 103.517 | 114.829 | 0.008469441906
10items/063 | Optimum found | 15871 | 15869.56465 | 31.494 | 31.563 | 0.008384117857
10items/026 | Optimum found | 11942 | 11941.98838 | 118.505 | 126.6 | 0.008464033715
10items/052 | Optimum found | 14814 | 14813.98537 | 83.466 | 92.992 | 0.008461209014
10items/030 | Optimum found | 14697 | 14696.98561 | 143.083 | 156.37 | 0.008452644572
10items/045 | Optimum found | 13415 | 13414.98684 | 127.451 | 140.16 | 0.00846411474
10items/001 | Optimum found | 14051 | 14050.98626 | 151.792 | 176.746 | 0.0084619876
10items/064 | Optimum found | 13296 | 13295.75122 | 85.07 | 85.329 | 0.00840217527
10items/043 | Optimum found | 13290 | 13289.98699 | 191.534 | 192.801 | 0.008466179483
10items/069 | Optimum found | 12617 | 12616.98759 | 52.608 | 55.226 | 0.008389993571
10items/011 | Optimum found | 20305 | 20304.98004 | 202.944 | 215.514 | 0.008475820534
10items/061 | Optimum found | 9631 | 9630.99065 | 124.884 | 133.527 | 0.009585109539
10items/073 | Optimum found | 15080 | 15078.87913 | 36.195 | 40.207 | 0.008383201435
10items/038 | Optimum found | 8705 | 8704.991576 | 230.72 | 233.36 | 0.00846596621
10items/058 | Optimum found | 14179 | 14178.98607 | 150.209 | 154.673 | 0.008453732356
10items/007 | Optimum found | 14018 | 14017.98629 | 201.181 | 234.718 | 0.008475510404
10items/033 | Optimum found | 13150 | 13149.98723 | 187.228 | 234.807 | 0.008466495201
10items/062 | Optimum found | 15226 | 15225.98506 | 142.561 | 147.89 | 0.008462721482
10items/054 | Optimum found | 10238 | 10237.99003 | 173.219 | 174.774 | 0.008457886986
10items/059 | Optimum found | 18450 | 18449.98168 | 156.932 | 162.871 | 0.008460231125
10items/066 | Optimum found | 9765 | 9764.990505 | 138.098 | 138.728 | 0.009620859288
10items/044 | Optimum found | 12704 | 12703.98758 | 232.013 | 237.017 | 0.008468280546
10items/057 | Optimum found | 12226 | 12224.78014 | 176.052 | 183.938 | 0.008460910991
10items/008 | Optimum found | 15864 | 15863.98445 | 10.785 | 267.478 | 0.008474102244
10items/027 | Optimum found | 14216 | 14215.9862 | 144.662 | 293.69 | 0.009236223996
10items/080 | Optimum found | 9934 | 9933.990263 | 64.089 | 85.322 | 0.00841149129
10items/071 | Optimum found | 15800 | 15799.98446 | 148.58 | 160.416 | 0.007623794489
10items/016 | Optimum found | 8121 | 8120.992142 | 306.577 | 328.985 | 0.008462002501
10items/074 | Optimum found | 10735 | 10734.98955 | 38.506 | 122.213 | 0.008449772373
10items/085 | Optimum found | 9848 | 9847.990418 | 81.698 | 85.589 | 0.008434860967
10items/065 | Optimum found | 13369 | 13368.98687 | 225.877 | 240.851 | 0.008464520797
10items/053 | Optimum found | 7757 | 7756.992529 | 266.013 | 293.232 | 0.008468208835
10items/086 | Optimum found | 9987 | 9986.990312 | 94.251 | 112.088 | 0.008448773995
10items/034 | Optimum found | 15671 | 15670.98463 | 366.758 | 373.37 | 0.008469239809
10items/060 | Optimum found | 15101 | 15100.98521 | 261.056 | 296.99 | 0.008464468643
10items/095 | Optimum found | 9369 | 9368.99087 | 34.087 | 49.748 | 0.008369872347
